regime,mechanism,total_capital_cost,match_per_byte,on_efficiency_pareto_frontier
state_dim_2,AEPCompressor,73732.0,1.2886115222956756e-05,False
state_dim_2,ResidualCompressor,56120.0,1.6815582255710552e-05,False
state_dim_2,CounterfactualCompressor,59820.0,6.593192275238413e-06,False
state_dim_2,PolicyClone,38220.0,8.288480227255739e-06,False
state_dim_2,RawMemoryOutcomeTableFull,26568.0,3.3167362096901396e-05,False
state_dim_2,StandardizedKNNOutcomeTable,4968.0,0.00017737328425730306,True
state_dim_2,PrototypeOutcomeTable,27000.0,3.250440917107584e-05,False
state_dim_4,AEPCompressor,79876.0,1.1457574054599443e-05,False
state_dim_4,ResidualCompressor,62264.0,1.4469451463541147e-05,False
state_dim_4,CounterfactualCompressor,65964.0,6.588891359372228e-06,False
state_dim_4,PolicyClone,44364.0,9.433741739214645e-06,False
state_dim_4,RawMemoryOutcomeTableFull,26588.0,3.134942524892878e-05,False
state_dim_4,StandardizedKNNOutcomeTable,4988.0,0.00016710475511592224,True
state_dim_4,PrototypeOutcomeTable,30200.0,2.7710326220259994e-05,False
state_dim_8,AEPCompressor,92164.0,9.960103326276669e-06,False
state_dim_8,ResidualCompressor,74552.0,1.2273312587187467e-05,False
state_dim_8,CounterfactualCompressor,78252.0,4.941300754826288e-06,False
state_dim_8,PolicyClone,56652.0,8.00860876409842e-06,False
state_dim_8,RawMemoryOutcomeTableFull,26400.0,3.207772166105499e-05,False
state_dim_8,StandardizedKNNOutcomeTable,4800.0,0.00017642746913575558,True
state_dim_8,PrototypeOutcomeTable,36600.0,2.3775551507791945e-05,False
state_dim_16,AEPCompressor,116740.0,7.1704928330763515e-06,False
state_dim_16,ResidualCompressor,99128.0,7.856004358001775e-06,False
state_dim_16,CounterfactualCompressor,102828.0,4.457281414919413e-06,False
state_dim_16,PolicyClone,81228.0,5.491230445987427e-06,False
state_dim_16,RawMemoryOutcomeTableFull,26048.0,2.8784999488124488e-05,False
state_dim_16,StandardizedKNNOutcomeTable,4448.0,0.000168568270383625,True
state_dim_16,PrototypeOutcomeTable,49400.0,1.5059885290148448e-05,False
state_dim_32,AEPCompressor,165892.0,5.0668842111467435e-06,False
state_dim_32,ResidualCompressor,148280.0,5.668704852681114e-06,False
state_dim_32,CounterfactualCompressor,151980.0,2.842113728414557e-06,False
state_dim_32,PolicyClone,130380.0,4.437882429138757e-06,False
state_dim_32,RawMemoryOutcomeTableFull,25872.0,3.193070157355872e-05,False
state_dim_32,StandardizedKNNOutcomeTable,4272.0,0.00019337806908026667,True
state_dim_32,PrototypeOutcomeTable,75000.0,1.1192592592592593e-05,False
coverage_dense,AEPCompressor,77332.0,1.212899166804776e-05,False
coverage_dense,ResidualCompressor,59720.0,1.5700821520838745e-05,False
coverage_dense,RawMemoryOutcomeTableFull,30168.0,2.9122627571314922e-05,True
